Alloy_or_not,Pt_or_not,Weight_ratio (wt%),Particle_size (nm),Surface_area (m2/g),N_doped (at%),pH,Current_density (mA/cm2),Overpotential (mV)
1,0,5.5,15,89.2,3.08,0.3,10,364
1,0,6.42,15,80.9,4.54,0.3,10,287
0,1,18.94,5,527,6.26,0.3,10,47
0,1,18.94,5,527,6.26,0.3,20,71
0,1,18.94,5,527,6.26,0.3,40,118
0,1,18.94,5,527,6.26,0.3,50,140
0,1,18.7,4,527,6.98,0.3,10,31
0,1,18.7,4,527,6.98,0.3,20,47
0,1,18.7,4,527,6.98,0.3,40,79
0,1,18.7,4,527,6.98,0.3,50,93
0,1,3.2,1.6,254,0,0.3,10,38
0,1,3.2,1.6,254,0,0.3,20,54
0,1,3.2,1.6,254,0,0.3,40,84
0,1,7.1,1.5,254,0,0.3,10,24
0,1,7.1,1.5,254,0,0.3,20,27
0,1,7.1,1.5,254,0,0.3,40,32
0,0,47.85,35.1,150.4,1,14,100,182
0,0,47.85,35.1,150.4,1,14,80,169
0,0,47.85,35.1,150.4,1,14,60,151
0,0,47.85,35.1,150.4,1,14,50,145
0,0,47.85,35.1,150.4,1,14,40,138
0,0,47.85,35.1,150.4,1,14,20,121
0,0,47.85,35.1,150.4,1,14,10,100
0,0,7.21,35.1,239.7,1.4,14,20,368
0,0,7.21,35.1,239.7,1.4,14,10,312
1,0,17.92,5.9,30.341,0,14,20,57.7
1,0,17.92,5.9,30.341,0,14,10,11.7
0,0,16.52,5.9,17.782,0,14,20,400
0,0,16.52,5.9,17.782,0,14,10,345
1,0,9.81,10,135.6,0.8,7.4,60,358
1,0,9.81,10,135.6,0.8,7.4,50,306
1,0,9.81,10,135.6,0.8,7.4,40,251
1,0,9.81,10,135.6,0.8,0.3,100,195
1,0,9.81,10,135.6,0.8,0.3,80,170
1,0,9.81,10,135.6,0.8,14,100,159
1,0,9.81,10,135.6,0.8,0.3,60,143
1,0,9.81,10,135.6,0.8,7.4,20,136
1,0,9.81,10,135.6,0.8,14,80,132
1,0,9.81,10,135.6,0.8,0.3,50,127
1,0,9.81,10,135.6,0.8,0.3,40,112
1,0,9.81,10,135.6,0.8,14,60,102
1,0,9.81,10,135.6,0.8,14,50,87
1,0,9.81,10,135.6,0.8,0.3,20,75
1,0,9.81,10,135.6,0.8,14,40,69
1,0,9.81,10,135.6,0.8,7.4,10,67
1,0,9.81,10,135.6,0.8,0.3,10,51
1,0,9.81,10,135.6,0.8,14,20,34
1,0,9.81,10,135.6,0.8,14,10,11
0,1,1.4,0.36,586.9,12.1,0.3,100,89.1
0,1,1.4,0.36,586.9,12.1,0.3,10,18.1
0,1,1.7,1,490.8,18.8,0.3,10,49.1
0,1,1.7,1,490.8,18.8,0.3,20,56
0,1,1.7,1,490.8,18.8,0.3,40,64
0,1,1.7,1,490.8,18.8,0.3,50,67
0,1,1.7,1,490.8,18.8,0.3,100,83
0,1,1.58,0.35,490.8,18.8,0.3,10,17
0,1,1.58,0.35,490.8,18.8,0.3,20,26
